Year for temperature difference,Annual temp difference (°C),Annual temp difference smooth (°C),Year.Month for CO2,CO2 (ppm),Year for Arctic sea ice extent,Arctic sea ice extent (million square km),Person ID number,Gender,Daily fruit/veggies,Daily stress (0-5),Number of close friends,Number of social interactions per day,Sleeping hours
,,,2011.04.01,390.63,,,,,,,,,
,,,2011.05.01,391.02,,,,,,,,,
,,,2011.06.01,391.44,,,,,,,,,
,,,2011.07.01,392.04,,,,,,,,,
,,,2011.08.01,391.83,,,,,,,,,
,,,2011.09.01,392.4,,,,,,,,,
,,,2011.10.01,392.33,,,,,,,,,
,,,2011.11.01,392.44,,,,,,,,,
,,,2011.12.01,392.66,,,,,,,,,
,,,2012.01.01,392.89,,,,,,,,,
,,,2012.02.01,393.04,,,,,,,,,
,,,2012.03.01,392.8,,,,,,,,,
,,,2012.04.01,393.43,,,,,,,,,
,,,2012.05.01,393.54,,,,,,,,,
,,,2012.06.01,393.45,,,,,,,,,
,,,2012.07.01,393.92,,,,,,,,,
,,,2012.08.01,394.17,,,,,,,,,
,,,2012.09.01,394.54,,,,,,,,,
,,,2012.10.01,394.41,,,,,,,,,
,,,2012.11.01,395.02,,,,,,,,,
,,,2012.12.01,395.04,,,,,,,,,
,,,2013.01.01,395.4,,,,,,,,,
,,,2013.02.01,396.01,,,,,,,,,
,,,2013.03.01,395.84,,,,,,,,,
,,,2013.04.01,395.53,,,,,,,,,
,,,2013.05.01,396.4,,,,,,,,,
,,,2013.06.01,396.28,,,,,,,,,
,,,2013.07.01,396.92,,,,,,,,,
,,,2013.08.01,397.08,,,,,,,,,
,,,2013.09.01,396.99,,,,,,,,,
,,,2013.10.01,397.04,,,,,,,,,
,,,2013.11.01,397.15,,,,,,,,,
,,,2013.12.01,397.59,,,,,,,,,
,,,2014.01.01,397.55,,,,,,,,,
,,,2014.02.01,397.21,,,,,,,,,
,,,2014.03.01,398.24,,,,,,,,,
,,,2014.04.01,398.49,,,,,,,,,
,,,2014.05.01,398.38,,,,,,,,,
,,,2014.06.01,398.93,,,,,,,,,
,,,2014.07.01,398.67,,,,,,,,,
,,,2014.08.01,398.92,,,,,,,,,
,,,2014.09.01,398.97,,,,,,,,,
,,,2014.10.01,399.44,,,,,,,,,
,,,2014.11.01,399.36,,,,,,,,,
,,,2014.12.01,399.64,,,,,,,,,
,,,2015.01.01,399.73,,,,,,,,,
,,,2015.02.01,399.52,,,,,,,,,
,,,2015.03.01,400.03,,,,,,,,,
,,,2015.04.01,400.38,,,,,,,,,
,,,2015.05.01,400.51,,,,,,,,,
,,,2015.06.01,400.48,,,,,,,,,
,,,2015.07.01,400.93,,,,,,,,,
,,,2015.08.01,400.85,,,,,,,,,
,,,2015.09.01,401.26,,,,,,,,,
,,,2015.10.01,401.69,,,,,,,,,
,,,2015.11.01,402.11,,,,,,,,,
,,,2015.12.01,402.51,,,,,,,,,
,,,2016.01.01,402.29,,,,,,,,,
,,,2016.02.01,403.3,,,,,,,,,
,,,2016.03.01,403.37,,,,,,,,,
,,,2016.04.01,404.6,,,,,,,,,
,,,2016.05.01,404.23,,,,,,,,,
,,,2016.06.01,404.43,,,,,,,,,
,,,2016.07.01,404.05,,,,,,,,,
,,,2016.08.01,404.22,,,,,,,,,
,,,2016.09.01,404.68,,,,,,,,,
,,,2016.10.01,405.02,,,,,,,,,
,,,2016.11.01,405.56,,,,,,,,,
,,,2016.12.01,405.14,,,,,,,,,
,,,2017.01.01,405.86,,,,,,,,,
,,,2017.02.01,405.61,,,,,,,,,
,,,2017.03.01,405.73,,,,,,,,,
,,,2017.04.01,406.22,,,,,,,,,
,,,2017.05.01,406.23,,,,,,,,,
,,,2017.06.01,406.54,,,,,,,,,
,,,2017.07.01,406.78,,,,,,,,,
,,,2017.08.01,407.04,,,,,,,,,
,,,2017.09.01,406.98,,,,,,,,,
,,,2017.10.01,407.05,,,,,,,,,
,,,2017.11.01,407.12,,,,,,,,,
,,,2017.12.01,407.49,,,,,,,,,
,,,2018.01.01,407.65,,,,,,,,,
,,,2018.02.01,407.47,,,,,,,,,
,,,2018.03.01,407.92,,,,,,,,,
,,,2018.04.01,407.42,,,,,,,,,
,,,2018.05.01,407.77,,,,,,,,,
,,,2018.06.01,408.45,,,,,,,,,
,,,2018.07.01,408.36,,,,,,,,,
,,,2018.08.01,408.9,,,,,,,,,
,,,2018.09.01,409.12,,,,,,,,,
,,,2018.10.01,409.42,,,,,,,,,
,,,2018.11.01,410.02,,,,,,,,,
,,,2018.12.01,409.75,,,,,,,,,
,,,2019.01.01,410.52,,,,,,,,,
,,,2019.02.01,410.89,,,,,,,,,
,,,2019.03.01,410.48,,,,,,,,,
,,,2019.04.01,410.5,,,,,,,,,
,,,2019.05.01,411.18,,,,,,,,,
,,,2019.06.01,411.59,,,,,,,,,
,,,2019.07.01,411.39,,,,,,,,,
,,,2019.08.01,411.86,,,,,,,,,
,,,2019.09.01,412.15,,,,,,,,,
,,,2019.10.01,411.95,,,,,,,,,
,,,2019.11.01,412.25,,,,,,,,,
,,,2019.12.01,412.44,,,,,,,,,
,,,2020.01.01,413.07,,,,,,,,,
,,,2020.02.01,413.26,,,,,,,,,
,,,2020.03.01,413.02,,,,,,,,,
,,,2020.04.01,413.38,,,,,,,,,
